id,ep_id,char_name,line_count
584,36,Realtor (S4E3),10
585,36,Bogdan Wolynetz,7
586,36,Female Homeowner,5
587,36,Sketchy,2
588,36,Male Homeowner,2
589,36,Partygoer,1
590,36,Tyrus Kitt,0
591,36,Huell Babineaux,0
592,36,Holly White,0
593,37,Walter White,95
594,37,Skyler White,50
595,37,Jesse Pinkman,36
596,37,Hank Schrader,36
597,37,Mike Ehrmantraut,14
598,37,Sketchy,9
599,37,"Walter ""Flynn"" White Jr.",7
600,37,Saul Goodman,7
601,37,Gale Boetticher,3
602,37,Marie Schrader,2
603,37,Gustavo Fring,2
604,37,Support Group Leader,1
605,37,Tyrus Kitt,0
606,37,Holly White,0
607,38,Walter White,63
608,38,Skyler White,38
609,38,Hank Schrader,26
610,38,Jesse Pinkman,25
611,38,"Walter ""Flynn"" White Jr.",20
612,38,Mike Ehrmantraut,20
613,38,Marie Schrader,15
614,38,Tim Roberts,8
615,38,Mortgage Broker,8
616,38,Cynthia,5
617,38,Gustavo Fring,2
618,38,Tyrus Kitt,1
619,38,Holly White,0
620,39,Walter White,81
621,39,Jesse Pinkman,46
622,39,Skyler White,28
623,39,Scary Skell,19
624,39,"Walter ""Flynn"" White Jr.",18
625,39,Mike Ehrmantraut,14
626,39,Tucker,11
627,39,Bogdan Wolynetz,9
628,39,Gustavo Fring,6
629,39,Tyrus Kitt,5
630,39,Cartel Henchman,1
631,39,Gaff,0
632,39,Holly White,0
633,40,Walter White,47
634,40,Jesse Pinkman,41
635,40,Hank Schrader,23
636,40,Skyler White,20
637,40,Group Leader,16
638,40,Gustavo Fring,14
639,40,Mike Ehrmantraut,14
640,40,Marie Schrader,11
641,40,"Walter ""Flynn"" White Jr.",10
642,40,Saul Goodman,9
643,40,Steve Gomez,7
644,40,Gaff,6
645,40,Colleen,6
646,40,George Merkert,5
647,40,Group Member,1
648,40,Gale Boetticher,0
649,40,Cartel Henchman,0
650,40,Nick,0
651,41,Gustavo Fring,48
652,41,Walter White,45
653,41,Hank Schrader,37
654,41,Tim Roberts,18
655,41,Eladio Vuente,14
656,41,Max Arciniega,14
657,41,Jesse Pinkman,13
658,41,Saul Goodman,11
659,41,George Merkert,7
660,41,Hector Salamanca,6
661,41,Cancer Patient,6
662,41,Marie Schrader,5
663,41,Mike Ehrmantraut,5
664,41,Juan Bolsa,5
665,41,Skyler White,3
666,41,Steve Gomez,3
667,41,Andrea Cantillo,3
668,41,Brock Cantillo,2
669,41,"Walter ""Flynn"" White Jr.",1
670,41,Huell Babineaux,0
671,42,Walter White,56
672,42,Jesse Pinkman,45
673,42,Skyler White,36
674,42,Hank Schrader,20
675,42,Ted Beneke,19
676,42,Mike Ehrmantraut,15
677,42,James Picarus,14
678,42,Gustavo Fring,9
679,42,Marie Schrader,3
680,42,Tyrus Kitt,0
681,42,Gaff,0
682,42,Chris Mara,0
683,42,Nick,0
684,43,Skyler White,35
685,43,"Walter ""Flynn"" White Jr.",27
686,43,Ted Beneke,26
687,43,Walter White,21
688,43,Gustavo Fring,18
689,43,Jesse Pinkman,15
690,43,Saul Goodman,15
691,43,Eladio Vuente,13
692,43,Benicio Fuentes,9
693,43,Mike Ehrmantraut,6
694,43,Gaff,5
695,43,Francesca Liddy,2
696,43,Tyrus Kitt,1
697,43,Miguel,1
698,44,Walter White,59
699,44,Skyler White,37
700,44,Ted Beneke,30
701,44,Jesse Pinkman,25
702,44,Saul Goodman,25
703,44,Hank Schrader,24
704,44,Gustavo Fring,14
705,44,Patrick Kuby,11
706,44,Barry Goodman,11
707,44,Brock Cantillo,6
708,44,Marie Schrader,5
709,44,"Walter ""Flynn"" White Jr.",5
710,44,Huell Babineaux,4
711,44,Tyrus Kitt,3
712,44,Andrea Cantillo,3
713,44,Francesca Liddy,1
714,44,Mike Ehrmantraut,0
715,44,Hector Salamanca,0
716,44,Holly White,0
717,44,Chris Mara,0
718,45,Jesse Pinkman,58
719,45,Walter White,46
720,45,Skyler White,30
721,45,Hank Schrader,16
722,45,Steve Gomez,15
723,45,Saul Goodman,14
724,45,Dennis Markowski,14
725,45,Pediatric Nurse,13
726,45,Andrea Cantillo,12
727,45,Gustavo Fring,8
728,45,Marie Schrader,7
729,45,Tyrus Kitt,7
730,45,"Walter ""Flynn"" White Jr.",5
731,45,DEA Agent (S4E12),2
732,45,Francesca Liddy,1
733,45,Huell Babineaux,1
734,45,Brock Cantillo,0
735,45,Holly White,0
736,45,Chris Mara,0
737,45,Grandma,0
738,46,Walter White,38
739,46,Jesse Pinkman,31
740,46,Detective Kalanchoe,18
741,46,Hank Schrader,12
742,46,Steve Gomez,11
743,46,Saul Goodman,10
744,46,Marie Schrader,9
745,46,Detective Munn,9
746,46,Skyler White,8
747,46,Francesca Liddy,8
748,46,Gustavo Fring,7
749,46,Caregiver,6
750,46,Tyrus Kitt,5
751,46,"Walter ""Flynn"" White Jr.",4
752,46,Bingo Caller,3
753,46,Operative,3
754,46,George Merkert,2
755,46,Little Old Lady,1
756,46,Hector Salamanca,0
757,46,DEA Agent (S4E12),0
758,46,Holly White,0
759,46,Chris Mara,0
760,47,Walter White,76
761,47,Jesse Pinkman,33
762,47,Mike Ehrmantraut,32
763,47,Skyler White,22
764,47,Old Joe,16
765,47,Saul Goodman,12
766,47,Lucy,11
767,47,"Walter ""Flynn"" White Jr.",7
768,47,Hank Schrader,4
769,47,Steve Gomez,4
770,47,Nurse (S5E1),4
771,47,Ted Beneke,2
772,47,Lawson,2
773,47,Duty Officer,2
774,47,Barry Goodman,1
775,47,Holly White,0
776,48,Mike Ehrmantraut,60
777,48,Walter White,47
778,48,Hank Schrader,33
779,48,Lydia Rodarte-Quayle,32
780,48,Jesse Pinkman,29
781,48,Steve Gomez,16
782,48,Delores,15
783,48,Kiira,13
784,48,George Merkert,7
785,48,"Walter ""Flynn"" White Jr.",5
786,48,Duane Chow,5
787,48,Fran,5
788,48,Saul Goodman,3
789,48,Chris Mara,3
790,48,Ms. Tromel,3
791,48,Peter Schuler,2
792,48,Herr Herzog,2
793,48,Skyler White,1
794,48,Kaylee Ehrmantraut,1
795,48,Chief Food Technician,1
796,48,Lawyer,1
797,48,Detective (S5E2),1
798,48,Holly White,0
799,49,Walter White,77
800,49,Jesse Pinkman,40
801,49,Mike Ehrmantraut,37
802,49,Marie Schrader,21
803,49,Saul Goodman,20
804,49,Skyler White,12
805,49,Skinny Pete,9
806,49,Dennis Markowski,8
807,49,"Brandon ""Badger"" Mayhew",7
808,49,Salesman,7
809,49,Dan Wachsberger,6
810,49,Andrea Cantillo,6
811,49,Ira,6
812,49,Home Owner,5
813,49,"Walter ""Flynn"" White Jr.",4
814,49,Todd Alquist,4
815,49,Darla,3
816,49,Brock Cantillo,1
817,49,Holly White,0
818,49,Huell Babineaux,0
819,50,Walter White,79
820,50,Hank Schrader,45
821,50,Skyler White,33
822,50,Marie Schrader,27
823,50,"Walter ""Flynn"" White Jr.",27
824,50,Jesse Pinkman,24
825,50,Mike Ehrmantraut,18
826,50,Lydia Rodarte-Quayle,18
827,50,Austin Ramey,9
828,50,Mechanic,9
829,50,Steve Gomez,5
830,50,Ron Forenall,0
831,50,Holly White,0
832,51,Walter White,87
833,51,Hank Schrader,39
834,51,Lydia Rodarte-Quayle,39
835,51,Mike Ehrmantraut,36
836,51,Jesse Pinkman,25
837,51,Patrick Kuby,17
838,51,Conductor,15
839,51,Todd Alquist,13
840,51,Engineer,12
841,51,"Walter ""Flynn"" White Jr.",7
842,51,Skyler White,6
843,51,Marie Schrader,6
844,51,Steve Gomez,5
845,51,Janice,4
846,51,Good Samaritan,4
847,51,Holly White,0
848,52,Walter White,55
849,52,Mike Ehrmantraut,49
850,52,Jesse Pinkman,38
851,52,Skyler White,21
852,52,Marie Schrader,16
853,52,Hank Schrader,12
854,52,Saul Goodman,10
855,52,Steve Gomez,10
856,52,Todd Alquist,8
857,52,Declan,8
858,52,Van Oster,5
859,52,Kaylee Ehrmantraut,0
860,52,Holly White,0
861,52,Declan's Driver,0
862,53,Walter White,73
863,53,Mike Ehrmantraut,33
864,53,Jesse Pinkman,26
865,53,Hank Schrader,26
866,53,Dan Wachsberger,21
867,53,Steve Gomez,15
868,53,Declan,14
869,53,Dorothy,12
870,53,Austin Ramey,8
871,53,Saul Goodman,7
872,53,Skyler White,6
873,53,Todd Alquist,6
874,53,DEA Agent (S5E7),2
875,53,Kaylee Ehrmantraut,0
876,53,Declan's Driver,0
877,54,Walter White,71
878,54,Hank Schrader,25
879,54,Jesse Pinkman,20
880,54,Lydia Rodarte-Quayle,20
881,54,Skyler White,19
882,54,Marie Schrader,19
883,54,Jack Welker,10
884,54,"Walter ""Flynn"" White Jr.",8
885,54,Todd Alquist,6
886,54,Kenny,6
887,54,Public Defender,4
888,54,Dennis Markowski,2
889,54,Frankie,2
890,54,Asst. US Attorney,2
891,54,Dan Wachsberger,1
892,54,Ron Forenall,1
893,54,Saul Goodman,0
894,54,Mike Ehrmantraut,0
895,54,Steve Gomez,0
896,54,Holly White,0
897,54,Declan's Driver,0
898,55,Walter White,60
899,55,Hank Schrader,36
900,55,Skyler White,34
901,55,Marie Schrader,27
902,55,Jesse Pinkman,17
903,55,"Brandon ""Badger"" Mayhew",12
904,55,Lydia Rodarte-Quayle,11
905,55,Skinny Pete,11
906,55,Saul Goodman,10
907,55,"Walter ""Flynn"" White Jr.",8
908,55,DEA Agent Artie,7
909,55,DEA Agent Scott,6
910,55,Francesca Liddy,3
911,55,Huell Babineaux,2
912,55,Carol,1
913,55,Min-Ye,1
914,55,Homeless Man,1
915,55,Holly White,0
916,55,Mariano,0
917,56,Skyler White,40
918,56,Hank Schrader,36
919,56,Walter White,25
920,56,Marie Schrader,17
921,56,Saul Goodman,15
922,56,Declan,12
923,56,Lydia Rodarte-Quayle,10
924,56,Detective Kalanchoe,8
925,56,Detective Munn,7
926,56,Steve Gomez,6
927,56,Patrick Kuby,6
928,56,Huell Babineaux,5
929,56,Todd Alquist,4
930,56,Jack Welker,3
931,56,Declan's Driver,2
932,56,Meth Cook,2
933,56,Kenny,1
934,56,Mariano,1
935,56,Jesse Pinkman,0
936,56,Lester,0
937,56,Frankie,0
938,56,Matt,0
939,56,Holly White,0
940,57,Walter White,44
941,57,Jesse Pinkman,27
942,57,Hank Schrader,27
943,57,Saul Goodman,22
944,57,Marie Schrader,21
945,57,Skyler White,17
946,57,"Walter ""Flynn"" White Jr.",11
947,57,Todd Alquist,9
948,57,Jack Welker,8
949,57,Kenny,4
950,57,Trent,3
951,57,Steve Gomez,2
952,57,Huell Babineaux,2
953,57,Janice,1
954,57,Waitress (S5E11),1
955,57,Car Wash Customer #1,1
956,57,Car Wash Customer #2,1
957,57,Detective Kalanchoe,0
958,57,Detective Munn,0
959,57,Francesca Liddy,0
960,57,Holly White,0
961,58,Walter White,61
